round,cid,phase,loss,accuracy,num_samples
1,2,fit,0.6208,0.7692,26
1,5,fit,0.7189,0.3077,26
1,4,fit,0.6416,0.6538,26
1,0,fit,0.6536,0.5769,26
1,6,fit,0.7346,0.3226,31
1,1,fit,0.6855,0.5385,26
1,3,fit,0.7155,0.3846,26
1,2,evaluate,0.1030,0.4286,7
1,3,evaluate,0.1059,0.4286,7
1,1,evaluate,0.0929,0.5714,7
1,4,evaluate,0.1067,0.2857,7
1,5,evaluate,0.1112,0.2857,7
1,6,evaluate,0.0819,0.6250,8
1,0,evaluate,0.0868,0.8571,7
2,6,fit,0.7266,0.3290,31
2,3,fit,0.7049,0.3846,26
2,5,fit,0.7086,0.3769,26
2,0,fit,0.6480,0.5769,26
2,1,fit,0.6809,0.5154,26
2,4,fit,0.6395,0.6923,26
2,2,fit,0.6190,0.8077,26
2,5,evaluate,0.1105,0.2857,7
2,3,evaluate,0.1047,0.4286,7
2,4,evaluate,0.1063,0.2857,7
2,1,evaluate,0.0920,0.5714,7
2,0,evaluate,0.0861,0.8571,7
2,6,evaluate,0.0813,0.6250,8
2,2,evaluate,0.1024,0.4286,7
3,2,fit,0.6172,0.8077,26
3,4,fit,0.6368,0.7154,26
3,3,fit,0.6946,0.4000,26
3,0,fit,0.6418,0.5769,26
3,5,fit,0.6980,0.4231,26
3,1,fit,0.6763,0.5000,26
3,6,fit,0.7186,0.3355,31
3,4,evaluate,0.1058,0.2857,7
3,1,evaluate,0.0912,0.5714,7
3,3,evaluate,0.1034,0.4286,7
3,0,evaluate,0.0855,0.8571,7
3,2,evaluate,0.1017,0.4286,7
3,5,evaluate,0.1099,0.2857,7
3,6,evaluate,0.0808,0.6250,8
4,4,fit,0.6339,0.7308,26
4,6,fit,0.7104,0.3871,31
4,3,fit,0.6837,0.4462,26
4,0,fit,0.6355,0.6231,26
4,5,fit,0.6875,0.4462,26
4,2,fit,0.6151,0.8077,26
4,1,fit,0.6714,0.5000,26
4,2,evaluate,0.1009,0.4286,7
4,4,evaluate,0.1054,0.2857,7
4,5,evaluate,0.1092,0.2857,7
4,0,evaluate,0.0848,0.8571,7
4,6,evaluate,0.0802,0.6250,8
4,1,evaluate,0.0904,0.5714,7
4,3,evaluate,0.1022,0.4286,7
5,4,fit,0.6307,0.7308,26
5,5,fit,0.6766,0.5231,26
5,1,fit,0.6662,0.5385,26
5,6,fit,0.7024,0.4645,31
5,3,fit,0.6728,0.4769,26
5,2,fit,0.6128,0.7769,26
5,0,fit,0.6289,0.7308,26
5,4,evaluate,0.1049,0.2857,7
5,2,evaluate,0.1001,0.4286,7
5,3,evaluate,0.1009,0.5714,7
5,1,evaluate,0.0895,0.7143,7
5,0,evaluate,0.0840,0.8571,7
5,5,evaluate,0.1085,0.2857,7
5,6,evaluate,0.0795,0.6250,8
6,0,fit,0.6222,0.7308,26
6,6,fit,0.6941,0.4839,31
6,1,fit,0.6611,0.6000,26
6,3,fit,0.6616,0.5154,26
6,2,fit,0.6103,0.7923,26
6,4,fit,0.6277,0.7308,26
6,5,fit,0.6656,0.5769,26
6,4,evaluate,0.1044,0.2857,7
6,2,evaluate,0.0993,0.4286,7
6,6,evaluate,0.0789,0.6250,8
6,5,evaluate,0.1078,0.2857,7
6,3,evaluate,0.0996,0.5714,7
6,0,evaluate,0.0833,0.8571,7
6,1,evaluate,0.0887,0.7143,7
7,4,fit,0.6249,0.7308,26
7,0,fit,0.6153,0.7308,26
7,5,fit,0.6540,0.5923,26
7,3,fit,0.6498,0.5615,26
