epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,0.6830,0.5462,0.0106,0.5838
2,0.6780,0.5462,0.0105,0.5838
3,0.6612,0.5462,0.0103,0.5838
4,0.6531,0.5462,0.0101,0.5838
5,0.6350,0.5514,0.0099,0.6054
6,0.6219,0.6113,0.0096,0.6811
7,0.5983,0.6935,0.0093,0.7405
8,0.5693,0.7603,0.0089,0.7784
9,0.5521,0.7842,0.0086,0.7946
10,0.5311,0.8048,0.0082,0.8108
11,0.4928,0.8116,0.0079,0.8324
12,0.4790,0.8151,0.0076,0.8270
13,0.4549,0.8202,0.0073,0.8378
14,0.4548,0.8236,0.0071,0.8486
15,0.4286,0.8271,0.0069,0.8486
16,0.4120,0.8322,0.0068,0.8378
17,0.4194,0.8356,0.0066,0.8378
18,0.3908,0.8356,0.0066,0.8432
19,0.3726,0.8373,0.0065,0.8378
20,0.3803,0.8373,0.0065,0.8324
21,0.4261,0.8373,0.0064,0.8378
22,0.4067,0.8442,0.0064,0.8378
23,0.3586,0.8425,0.0064,0.8378
24,0.3662,0.8408,0.0064,0.8432
25,0.3719,0.8425,0.0063,0.8432
26,0.3798,0.8425,0.0063,0.8432
27,0.3465,0.8390,0.0063,0.8378
28,0.3519,0.8373,0.0063,0.8378
29,0.3649,0.8408,0.0063,0.8378
30,0.3777,0.8425,0.0063,0.8324
