round,cid,location,phase,loss,accuracy,num_samples
1,5,Hungarian,fit,0.7401,0.3651,63
1,3,Hungarian,fit,0.7340,0.3871,62
1,1,Cleveland,fit,0.7172,0.4688,64
1,8,Switzerland,fit,0.6076,0.9259,27
1,11,VA_Long_Beach,fit,0.6336,0.6977,43
1,2,Cleveland,fit,0.7292,0.4769,65
1,7,Switzerland,fit,0.5842,0.9200,25
1,4,Hungarian,fit,0.7409,0.3710,62
1,10,VA_Long_Beach,fit,0.6193,0.7619,42
1,6,Switzerland,fit,0.5948,0.9600,25
1,9,VA_Long_Beach,fit,0.6460,0.6667,42
1,0,Cleveland,fit,0.7251,0.4062,64
1,0,Cleveland,evaluate,0.0443,0.4375,16
1,9,VA_Long_Beach,evaluate,0.0536,0.9091,11
1,8,Switzerland,evaluate,0.0899,0.8571,7
1,3,Hungarian,evaluate,0.0473,0.3125,16
1,5,Hungarian,evaluate,0.0492,0.2500,16
1,1,Cleveland,evaluate,0.0464,0.3125,16
1,4,Hungarian,evaluate,0.0462,0.3750,16
1,2,Cleveland,evaluate,0.0923,0.4706,17
1,10,VA_Long_Beach,evaluate,0.0604,0.6364,11
1,11,VA_Long_Beach,evaluate,0.0527,0.9091,11
1,6,Switzerland,evaluate,0.0904,1.0000,7
1,7,Switzerland,evaluate,0.0867,1.0000,7
2,8,Switzerland,fit,0.6021,0.9185,27
2,7,Switzerland,fit,0.5810,0.9200,25
2,3,Hungarian,fit,0.7186,0.3871,62
2,2,Cleveland,fit,0.6950,0.4708,65
2,9,VA_Long_Beach,fit,0.6417,0.6667,42
2,0,Cleveland,fit,0.7032,0.4250,64
2,11,VA_Long_Beach,fit,0.6366,0.6977,43
2,10,VA_Long_Beach,fit,0.6141,0.7619,42
2,5,Hungarian,fit,0.7233,0.3714,63
2,1,Cleveland,fit,0.6958,0.4781,64
2,6,Switzerland,fit,0.5901,0.9600,25
2,4,Hungarian,fit,0.7260,0.3710,62
2,0,Cleveland,evaluate,0.0434,0.4375,16
2,8,Switzerland,evaluate,0.0896,0.8571,7
2,1,Cleveland,evaluate,0.0450,0.3125,16
2,11,VA_Long_Beach,evaluate,0.0522,0.9091,11
2,5,Hungarian,evaluate,0.0480,0.2500,16
2,10,VA_Long_Beach,evaluate,0.0602,0.6364,11
2,4,Hungarian,evaluate,0.0455,0.3750,16
2,6,Switzerland,evaluate,0.0900,1.0000,7
2,3,Hungarian,evaluate,0.0461,0.3125,16
2,7,Switzerland,evaluate,0.0855,1.0000,7
2,9,VA_Long_Beach,evaluate,0.0531,0.9091,11
2,2,Cleveland,evaluate,0.0890,0.4706,17
3,6,Switzerland,fit,0.5834,0.9680,25
3,11,VA_Long_Beach,fit,0.6287,0.6977,43
3,2,Cleveland,fit,0.6868,0.4738,65
3,5,Hungarian,fit,0.7036,0.3937,63
3,4,Hungarian,fit,0.7093,0.3774,62
3,7,Switzerland,fit,0.5738,0.9440,25
3,1,Cleveland,fit,0.6738,0.5094,64
3,3,Hungarian,fit,0.7024,0.3903,62
3,0,Cleveland,fit,0.6804,0.4938,64
3,8,Switzerland,fit,0.5972,0.8889,27
3,10,VA_Long_Beach,fit,0.6144,0.7619,42
3,9,VA_Long_Beach,fit,0.6368,0.6667,42
3,10,VA_Long_Beach,evaluate,0.0598,0.6364,11
3,7,Switzerland,evaluate,0.0843,1.0000,7
3,11,VA_Long_Beach,evaluate,0.0515,0.9091,11
3,5,Hungarian,evaluate,0.0465,0.2500,16
3,2,Cleveland,evaluate,0.0859,0.4706,17
3,3,Hungarian,evaluate,0.0446,0.3125,16
3,0,Cleveland,evaluate,0.0425,0.5000,16
3,8,Switzerland,evaluate,0.0892,0.7143,7
3,6,Switzerland,evaluate,0.0896,1.0000,7
3,9,VA_Long_Beach,evaluate,0.0523,0.9091,11
3,4,Hungarian,evaluate,0.0446,0.3750,16
3,1,Cleveland,evaluate,0.0436,0.4375,16
