round,cid,location,phase,loss,accuracy,num_samples
1,2,Cleveland,fit,0.7053,0.4246,65
1,7,Switzerland,fit,0.5398,0.9200,25
1,9,VA_Long_Beach,fit,0.6009,0.7619,42
1,6,Switzerland,fit,0.4960,1.0000,25
1,4,Hungarian,fit,0.7193,0.4032,62
1,1,Cleveland,fit,0.6722,0.5469,64
1,0,Cleveland,fit,0.6739,0.5031,64
1,11,VA_Long_Beach,fit,0.6224,0.7209,43
1,8,Switzerland,fit,0.5146,0.9630,27
1,3,Hungarian,fit,0.7612,0.2613,62
1,10,VA_Long_Beach,fit,0.6359,0.6667,42
1,5,Hungarian,fit,0.7190,0.4190,63
1,9,VA_Long_Beach,evaluate,0.0536,0.8182,11
1,11,VA_Long_Beach,evaluate,0.0559,0.7273,11
1,8,Switzerland,evaluate,0.0910,0.7143,7
1,3,Hungarian,evaluate,0.0431,0.5000,16
1,10,VA_Long_Beach,evaluate,0.0537,0.8182,11
1,1,Cleveland,evaluate,0.0449,0.4375,16
1,6,Switzerland,evaluate,0.0862,0.8571,7
1,2,Cleveland,evaluate,0.0844,0.4118,17
1,4,Hungarian,evaluate,0.0459,0.3750,16
1,5,Hungarian,evaluate,0.0472,0.2500,16
1,7,Switzerland,evaluate,0.0745,1.0000,7
1,0,Cleveland,evaluate,0.0471,0.2500,16
2,7,Switzerland,fit,0.5455,0.9200,25
2,8,Switzerland,fit,0.5157,0.9630,27
2,5,Hungarian,fit,0.6980,0.4508,63
2,3,Hungarian,fit,0.7277,0.3387,62
2,9,VA_Long_Beach,fit,0.5950,0.7619,42
2,2,Cleveland,fit,0.6735,0.5354,65
2,0,Cleveland,fit,0.6510,0.5594,64
2,11,VA_Long_Beach,fit,0.6181,0.7209,43
2,6,Switzerland,fit,0.4951,1.0000,25
2,1,Cleveland,fit,0.6552,0.6031,64
2,10,VA_Long_Beach,fit,0.6383,0.6667,42
2,4,Hungarian,fit,0.6973,0.4290,62
2,8,Switzerland,evaluate,0.0901,0.7143,7
2,2,Cleveland,evaluate,0.0786,0.5294,17
2,3,Hungarian,evaluate,0.0418,0.5000,16
2,1,Cleveland,evaluate,0.0439,0.4375,16
2,4,Hungarian,evaluate,0.0447,0.3750,16
2,9,VA_Long_Beach,evaluate,0.0538,0.8182,11
2,10,VA_Long_Beach,evaluate,0.0532,0.8182,11
2,7,Switzerland,evaluate,0.0744,1.0000,7
2,0,Cleveland,evaluate,0.0451,0.3125,16
2,11,VA_Long_Beach,evaluate,0.0559,0.7273,11
2,5,Hungarian,evaluate,0.0448,0.3125,16
2,6,Switzerland,evaluate,0.0874,0.8571,7
3,9,VA_Long_Beach,fit,0.5953,0.7619,42
3,0,Cleveland,fit,0.6236,0.6625,64
3,3,Hungarian,fit,0.6886,0.4903,62
3,4,Hungarian,fit,0.6689,0.5355,62
3,10,VA_Long_Beach,fit,0.6277,0.6667,42
3,8,Switzerland,fit,0.5160,0.9630,27
3,1,Cleveland,fit,0.6350,0.6813,64
3,5,Hungarian,fit,0.6748,0.5365,63
3,6,Switzerland,fit,0.4947,1.0000,25
3,11,VA_Long_Beach,fit,0.6182,0.7209,43
3,7,Switzerland,fit,0.5379,0.9200,25
