round,loss,accuracy
0,0.0234,0.4216
1,0.0202,0.6757
2,0.0178,0.7514
3,0.0162,0.7568
4,0.0151,0.7838
5,0.0145,0.8000
6,0.0141,0.8108
7,0.0138,0.8162
8,0.0137,0.8216
9,0.0136,0.8216
10,0.0135,0.8162
11,0.0135,0.8162
12,0.0134,0.8162
13,0.0134,0.8216
14,0.0134,0.8270
15,0.0134,0.8162
16,0.0134,0.8270
17,0.0134,0.8216
18,0.0135,0.8216
19,0.0135,0.8216
20,0.0135,0.8162
21,0.0136,0.8108
22,0.0136,0.8162
23,0.0136,0.8108
24,0.0136,0.8108
25,0.0137,0.8054
26,0.0136,0.8054
27,0.0136,0.8054
28,0.0137,0.8108
29,0.0137,0.8108
30,0.0138,0.8162
