round,cid,location,phase,loss,accuracy,num_samples
1,0,Cleveland,fit,0.7208,0.4611,193
1,2,Switzerland,fit,0.6672,0.6179,78
1,3,VA_Long_Beach,fit,0.6993,0.4969,128
1,1,Hungarian,fit,0.6863,0.6340,188
1,3,VA_Long_Beach,evaluate,0.0443,0.3438,32
1,1,Hungarian,evaluate,0.0439,0.6170,47
1,2,Switzerland,evaluate,0.0677,0.4500,20
1,0,Cleveland,evaluate,0.0607,0.4082,49
2,2,Switzerland,fit,0.6515,0.6949,78
2,3,VA_Long_Beach,fit,0.6883,0.5594,128
2,0,Cleveland,fit,0.7085,0.5016,193
2,1,Hungarian,fit,0.6793,0.6404,188
2,3,VA_Long_Beach,evaluate,0.0434,0.4375,32
2,1,Hungarian,evaluate,0.0433,0.6170,47
2,0,Cleveland,evaluate,0.0594,0.4694,49
2,2,Switzerland,evaluate,0.0662,0.7000,20
3,2,Switzerland,fit,0.6244,0.8231,78
3,3,VA_Long_Beach,fit,0.6721,0.6375,128
3,0,Cleveland,fit,0.6946,0.5409,193
3,1,Hungarian,fit,0.6713,0.6394,188
3,1,Hungarian,evaluate,0.0426,0.6596,47
3,2,Switzerland,evaluate,0.0644,0.7000,20
3,3,VA_Long_Beach,evaluate,0.0423,0.5625,32
3,0,Cleveland,evaluate,0.0577,0.5510,49
4,2,Switzerland,fit,0.5869,0.8949,78
4,3,VA_Long_Beach,fit,0.6516,0.6937,128
4,0,Cleveland,fit,0.6745,0.6363,193
4,1,Hungarian,fit,0.6612,0.6596,188
4,1,Hungarian,evaluate,0.0416,0.7660,47
4,2,Switzerland,evaluate,0.0611,0.8000,20
4,0,Cleveland,evaluate,0.0561,0.6327,49
4,3,VA_Long_Beach,evaluate,0.0404,0.7500,32
5,3,VA_Long_Beach,fit,0.6231,0.7297,128
5,2,Switzerland,fit,0.5330,0.9385,78
5,0,Cleveland,fit,0.6561,0.7275,193
5,1,Hungarian,fit,0.6456,0.7309,188
5,1,Hungarian,evaluate,0.0401,0.8936,47
5,3,VA_Long_Beach,evaluate,0.0384,0.8125,32
5,2,Switzerland,evaluate,0.0581,0.9500,20
5,0,Cleveland,evaluate,0.0532,0.7347,49
6,2,Switzerland,fit,0.4812,0.9333,78
6,3,VA_Long_Beach,fit,0.5944,0.7453,128
6,0,Cleveland,fit,0.6248,0.7907,193
6,1,Hungarian,fit,0.6252,0.7957,188
6,3,VA_Long_Beach,evaluate,0.0362,0.8125,32
6,0,Cleveland,evaluate,0.0497,0.7959,49
6,2,Switzerland,evaluate,0.0546,0.9500,20
6,1,Hungarian,evaluate,0.0381,0.8936,47
7,2,Switzerland,fit,0.4239,0.9333,78
7,3,VA_Long_Beach,fit,0.5587,0.7438,128
7,1,Hungarian,fit,0.5980,0.8191,188
7,0,Cleveland,fit,0.5889,0.8031,193
7,2,Switzerland,evaluate,0.0504,0.9500,20
7,1,Hungarian,evaluate,0.0356,0.9149,47
7,0,Cleveland,evaluate,0.0457,0.8571,49
7,3,VA_Long_Beach,evaluate,0.0340,0.7812,32
8,3,VA_Long_Beach,fit,0.5290,0.7438,128
8,2,Switzerland,fit,0.3653,0.9385,78
8,0,Cleveland,fit,0.5530,0.8093,193
8,1,Hungarian,fit,0.5633,0.8191,188
8,1,Hungarian,evaluate,0.0331,0.8936,47
8,0,Cleveland,evaluate,0.0419,0.8571,49
8,2,Switzerland,evaluate,0.0469,0.9500,20
8,3,VA_Long_Beach,evaluate,0.0326,0.7812,32
9,2,Switzerland,fit,0.3211,0.9308,78
9,3,VA_Long_Beach,fit,0.5075,0.7500,128
9,0,Cleveland,fit,0.5021,0.8218,193
9,1,Hungarian,fit,0.5310,0.8223,188
9,1,Hungarian,evaluate,0.0305,0.8936,47
9,3,VA_Long_Beach,evaluate,0.0320,0.7812,32
9,2,Switzerland,evaluate,0.0445,0.9500,20
9,0,Cleveland,evaluate,0.0380,0.8571,49
10,2,Switzerland,fit,0.2918,0.9282,78
10,3,VA_Long_Beach,fit,0.4954,0.7609,128
10,0,Cleveland,fit,0.4595,0.8311,193
10,1,Hungarian,fit,0.5017,0.8266,188
10,0,Cleveland,evaluate,0.0350,0.8571,49
10,1,Hungarian,evaluate,0.0282,0.8936,47
10,3,VA_Long_Beach,evaluate,0.0318,0.7812,32
10,2,Switzerland,evaluate,0.0427,0.9500,20
11,2,Switzerland,fit,0.2707,0.9205,78
11,3,VA_Long_Beach,fit,0.4866,0.7641,128
11,0,Cleveland,fit,0.4532,0.8332,193
11,1,Hungarian,fit,0.4763,0.8309,188
11,3,VA_Long_Beach,evaluate,0.0321,0.8125,32
11,0,Cleveland,evaluate,0.0328,0.8367,49
11,2,Switzerland,evaluate,0.0420,0.9500,20
11,1,Hungarian,evaluate,0.0264,0.8936,47
12,3,VA_Long_Beach,fit,0.4836,0.7594,128
12,2,Switzerland,fit,0.2563,0.9051,78
12,0,Cleveland,fit,0.4198,0.8342,193
12,1,Hungarian,fit,0.4564,0.8309,188
12,0,Cleveland,evaluate,0.0312,0.8367,49
12,3,VA_Long_Beach,evaluate,0.0324,0.8125,32
12,2,Switzerland,evaluate,0.0414,0.9500,20
12,1,Hungarian,evaluate,0.0248,0.8936,47
13,2,Switzerland,fit,0.2499,0.8974,78
13,3,VA_Long_Beach,fit,0.4808,0.7750,128
13,1,Hungarian,fit,0.4407,0.8330,188
13,0,Cleveland,fit,0.4243,0.8363,193
13,2,Switzerland,evaluate,0.0415,0.9500,20
13,1,Hungarian,evaluate,0.0236,0.8936,47
13,3,VA_Long_Beach,evaluate,0.0328,0.8125,32
13,0,Cleveland,evaluate,0.0300,0.8367,49
14,2,Switzerland,fit,0.2427,0.9026,78
14,3,VA_Long_Beach,fit,0.4780,0.7797,128
14,1,Hungarian,fit,0.4245,0.8330,188
14,0,Cleveland,fit,0.3969,0.8321,193
14,0,Cleveland,evaluate,0.0293,0.8367,49
14,1,Hungarian,evaluate,0.0226,0.8936,47
14,2,Switzerland,evaluate,0.0416,0.9500,20
14,3,VA_Long_Beach,evaluate,0.0332,0.8125,32
15,3,VA_Long_Beach,fit,0.4785,0.7859,128
15,2,Switzerland,fit,0.2356,0.8974,78
15,0,Cleveland,fit,0.3974,0.8342,193
15,1,Hungarian,fit,0.4156,0.8298,188
15,0,Cleveland,evaluate,0.0289,0.8367,49
15,2,Switzerland,evaluate,0.0413,0.9500,20
15,1,Hungarian,evaluate,0.0218,0.8936,47
15,3,VA_Long_Beach,evaluate,0.0335,0.8125,32
16,3,VA_Long_Beach,fit,0.4764,0.7781,128
16,2,Switzerland,fit,0.2291,0.8897,78
16,0,Cleveland,fit,0.3838,0.8311,193
16,1,Hungarian,fit,0.4093,0.8330,188
16,3,VA_Long_Beach,evaluate,0.0338,0.8125,32
16,0,Cleveland,evaluate,0.0287,0.8367,49
16,2,Switzerland,evaluate,0.0410,0.9500,20
16,1,Hungarian,evaluate,0.0211,0.8936,47
17,3,VA_Long_Beach,fit,0.4763,0.7703,128
17,2,Switzerland,fit,0.2239,0.8974,78
17,1,Hungarian,fit,0.4030,0.8362,188
17,0,Cleveland,fit,0.3718,0.8321,193
17,1,Hungarian,evaluate,0.0206,0.8936,47
17,0,Cleveland,evaluate,0.0285,0.8367,49
17,3,VA_Long_Beach,evaluate,0.0341,0.8125,32
17,2,Switzerland,evaluate,0.0411,0.9500,20
18,3,VA_Long_Beach,fit,0.4738,0.7641,128
18,2,Switzerland,fit,0.2175,0.9000,78
18,0,Cleveland,fit,0.3612,0.8352,193
18,1,Hungarian,fit,0.3973,0.8351,188
18,3,VA_Long_Beach,evaluate,0.0343,0.8125,32
18,1,Hungarian,evaluate,0.0202,0.8936,47
18,2,Switzerland,evaluate,0.0408,0.9500,20
18,0,Cleveland,evaluate,0.0284,0.8163,49
19,2,Switzerland,fit,0.2130,0.9077,78
19,3,VA_Long_Beach,fit,0.4725,0.7688,128
19,0,Cleveland,fit,0.3640,0.8435,193
19,1,Hungarian,fit,0.3928,0.8415,188
19,1,Hungarian,evaluate,0.0198,0.8936,47
19,2,Switzerland,evaluate,0.0407,0.9500,20
19,0,Cleveland,evaluate,0.0284,0.8163,49
19,3,VA_Long_Beach,evaluate,0.0345,0.8125,32
20,2,Switzerland,fit,0.2084,0.9026,78
20,3,VA_Long_Beach,fit,0.4726,0.7656,128
20,1,Hungarian,fit,0.3905,0.8404,188
20,0,Cleveland,fit,0.3593,0.8394,193
20,2,Switzerland,evaluate,0.0407,0.9500,20
20,3,VA_Long_Beach,evaluate,0.0346,0.8125,32
20,1,Hungarian,evaluate,0.0196,0.8936,47
20,0,Cleveland,evaluate,0.0283,0.8163,49
21,2,Switzerland,fit,0.2060,0.9128,78
21,3,VA_Long_Beach,fit,0.4722,0.7625,128
21,0,Cleveland,fit,0.3449,0.8383,193
21,1,Hungarian,fit,0.3877,0.8404,188
21,3,VA_Long_Beach,evaluate,0.0348,0.7812,32
21,1,Hungarian,evaluate,0.0194,0.8936,47
21,2,Switzerland,evaluate,0.0404,0.9500,20
21,0,Cleveland,evaluate,0.0283,0.8163,49
22,2,Switzerland,fit,0.2003,0.9154,78
22,3,VA_Long_Beach,fit,0.4693,0.7641,128
22,0,Cleveland,fit,0.3863,0.8415,193
22,1,Hungarian,fit,0.3833,0.8468,188
22,1,Hungarian,evaluate,0.0193,0.8936,47
22,2,Switzerland,evaluate,0.0403,0.9500,20
22,0,Cleveland,evaluate,0.0283,0.8163,49
22,3,VA_Long_Beach,evaluate,0.0350,0.7812,32
23,2,Switzerland,fit,0.1987,0.9231,78
23,0,Cleveland,fit,0.3508,0.8446,193
23,3,VA_Long_Beach,fit,0.4690,0.7609,128
23,1,Hungarian,fit,0.3805,0.8447,188
23,0,Cleveland,evaluate,0.0285,0.8163,49
23,1,Hungarian,evaluate,0.0191,0.8936,47
23,3,VA_Long_Beach,evaluate,0.0351,0.7812,32
23,2,Switzerland,evaluate,0.0397,0.9500,20
24,2,Switzerland,fit,0.1937,0.9154,78
24,1,Hungarian,fit,0.3801,0.8489,188
24,3,VA_Long_Beach,fit,0.4671,0.7688,128
24,0,Cleveland,fit,0.3414,0.8415,193
24,3,VA_Long_Beach,evaluate,0.0352,0.7812,32
24,2,Switzerland,evaluate,0.0390,0.9500,20
24,0,Cleveland,evaluate,0.0287,0.8163,49
24,1,Hungarian,evaluate,0.0189,0.8936,47
25,2,Switzerland,fit,0.1863,0.9282,78
25,3,VA_Long_Beach,fit,0.4634,0.7703,128
25,1,Hungarian,fit,0.3756,0.8479,188
25,0,Cleveland,fit,0.3405,0.8466,193
25,3,VA_Long_Beach,evaluate,0.0353,0.7812,32
25,0,Cleveland,evaluate,0.0289,0.8163,49
25,1,Hungarian,evaluate,0.0187,0.8936,47
25,2,Switzerland,evaluate,0.0385,0.9500,20
26,3,VA_Long_Beach,fit,0.4640,0.7734,128
26,2,Switzerland,fit,0.1823,0.9282,78
26,0,Cleveland,fit,0.3722,0.8508,193
26,1,Hungarian,fit,0.3750,0.8521,188
26,3,VA_Long_Beach,evaluate,0.0352,0.7812,32
26,0,Cleveland,evaluate,0.0289,0.8163,49
26,1,Hungarian,evaluate,0.0188,0.9149,47
26,2,Switzerland,evaluate,0.0384,0.9500,20
27,2,Switzerland,fit,0.1794,0.9333,78
27,1,Hungarian,fit,0.3718,0.8532,188
27,3,VA_Long_Beach,fit,0.4622,0.7719,128
27,0,Cleveland,fit,0.3436,0.8549,193
27,2,Switzerland,evaluate,0.0378,0.9500,20
27,0,Cleveland,evaluate,0.0291,0.8163,49
27,1,Hungarian,evaluate,0.0185,0.9149,47
27,3,VA_Long_Beach,evaluate,0.0353,0.7812,32
28,2,Switzerland,fit,0.1757,0.9359,78
28,3,VA_Long_Beach,fit,0.4619,0.7750,128
28,1,Hungarian,fit,0.3697,0.8543,188
28,0,Cleveland,fit,0.3464,0.8580,193
28,1,Hungarian,evaluate,0.0183,0.9149,47
28,2,Switzerland,evaluate,0.0369,0.9500,20
28,3,VA_Long_Beach,evaluate,0.0354,0.7812,32
28,0,Cleveland,evaluate,0.0294,0.8163,49
29,2,Switzerland,fit,0.1689,0.9359,78
29,3,VA_Long_Beach,fit,0.4590,0.7828,128
29,0,Cleveland,fit,0.3313,0.8580,193
29,1,Hungarian,fit,0.3682,0.8543,188
29,2,Switzerland,evaluate,0.0369,0.9500,20
29,3,VA_Long_Beach,evaluate,0.0356,0.7812,32
29,1,Hungarian,evaluate,0.0183,0.9149,47
29,0,Cleveland,evaluate,0.0294,0.8163,49
30,2,Switzerland,fit,0.1704,0.9436,78
30,3,VA_Long_Beach,fit,0.4573,0.7937,128
30,0,Cleveland,fit,0.3278,0.8632,193
30,1,Hungarian,fit,0.3676,0.8553,188
30,1,Hungarian,evaluate,0.0182,0.9149,47
30,0,Cleveland,evaluate,0.0295,0.8163,49
30,3,VA_Long_Beach,evaluate,0.0356,0.7812,32
30,2,Switzerland,evaluate,0.0366,0.9500,20
