round,loss,accuracy
0,0.0216,0.5838
1,0.0212,0.5784
2,0.0207,0.6270
3,0.0200,0.7297
4,0.0193,0.7730
5,0.0185,0.8000
6,0.0177,0.8270
7,0.0169,0.8378
8,0.0163,0.8432
9,0.0156,0.8270
10,0.0151,0.8162
11,0.0147,0.8216
12,0.0143,0.8162
13,0.0139,0.8216
14,0.0137,0.8162
15,0.0135,0.8162
16,0.0133,0.8162
17,0.0131,0.8162
18,0.0130,0.8162
19,0.0129,0.8216
20,0.0128,0.8270
21,0.0128,0.8324
22,0.0127,0.8324
23,0.0127,0.8270
24,0.0126,0.8324
25,0.0126,0.8324
26,0.0125,0.8378
27,0.0125,0.8270
28,0.0125,0.8270
29,0.0125,0.8270
30,0.0125,0.8270
