round,loss,accuracy
0,0.0226,0.5838
1,0.0222,0.5784
2,0.0218,0.5622
3,0.0214,0.5568
4,0.0209,0.6162
5,0.0203,0.6703
6,0.0196,0.7405
7,0.0189,0.7784
8,0.0182,0.7892
9,0.0174,0.8000
10,0.0167,0.8000
11,0.0161,0.8000
12,0.0156,0.7946
13,0.0151,0.7946
14,0.0148,0.7892
15,0.0145,0.7892
16,0.0144,0.7946
17,0.0142,0.7946
18,0.0141,0.7946
19,0.0140,0.7946
20,0.0140,0.7946
21,0.0139,0.7946
22,0.0139,0.7946
23,0.0138,0.7946
24,0.0138,0.8000
25,0.0137,0.7946
26,0.0137,0.7892
27,0.0137,0.7892
28,0.0136,0.8054
29,0.0136,0.8108
30,0.0136,0.8054
